session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,153.54556133464777,192.32671647149962,227.2193724356747,105.78593344707905
2,151.58281285096166,193.76378242675318,230.67356521258583,104.23889430633929
3,147.72680581107588,180.2850306885621,234.94500388890532,104.62805973220401
4,149.40391716923216,188.75406578149432,247.25222471215693,101.3939542152496
5,149.69996989899872,189.01406917311715,236.16872059038067,100.27049017027622
6,146.3348469275116,187.27906879143458,250.42281263607546,102.09545011513967
7,142.12032683223177,180.47656673707002,246.60354914591508,95.1996460805148
8,139.8552404026856,179.99037709120478,256.8576646401382,92.32016002388016
9,139.84700304650625,178.0235645038272,266.5543440095784,95.72795381153105
10,135.51983538553608,178.74873755754638,276.7689147623614,93.62238352044307
