session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,151.2433435192835,189.39496167404738,226.71515922761012,104.02563900283653
2,152.3536080767327,188.7402793072093,238.19199265760113,102.51478834525348
3,147.60376567318377,181.63966057231448,229.86271930750178,101.27008088480565
4,147.08398137412235,191.2824279459525,243.11742736144157,103.52538588859693
5,148.22140641699633,184.33221214016476,251.87830770067396,98.22041114254792
6,147.4705181306305,189.34984503258275,248.52649698538704,98.01352724669417
7,145.61449582688454,175.63911633189764,253.21556460508782,94.25902744564465
8,146.2499285859503,182.64971558924705,252.3002843088854,95.94140998371762
9,142.09096971862087,178.8744556963228,264.43582762472886,93.81665689876947
10,140.42559939151744,176.17906758003107,262.6828657326956,93.99933497986389
