session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,229.46098150896242,33.91363724656104,102.00399392133767
2,65,236.36454882379687,30.366651293704802,98.33759722307867
3,70,252.86389532163108,30.433104665928443,98.37369938192118
4,75,243.90409216456015,29.84286593913767,94.38986269848346
5,80,255.6250113558479,29.223033983633286,94.87711725355463
6,85,266.27256544263753,26.28964209064514,91.22848038161162
7,90,284.0375678076906,27.472258011744287,91.58653336094689
8,95,285.6534222909874,30.854583214052923,93.76418829473155
9,100,298.13687929003675,30.632284915253397,86.77562212374131
10,105,312.3911962681306,33.091534076645374,86.81266800459922
