session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,145.257722659929,191.42954930796316,230.54356160489795,108.01938953169577
2,145.1419603559978,189.9386643341592,242.09919022330183,107.52324232065402
3,143.19060094204505,182.19316115034985,233.24206732246645,102.26110674011356
4,144.31585068291486,190.02232895061263,237.89233064783477,100.81112709567428
5,142.63912482302783,179.23602514246804,237.72202287494918,100.59826381423892
6,139.67883458283393,179.5829448526256,248.59505490217188,97.0091436398993
7,141.52611990329873,183.0955336284562,257.79365893145933,97.75259474807865
8,138.60074853207263,182.49289183266936,257.51748574326274,99.09965916775398
9,139.91979739854915,175.5637612173296,258.1561181609638,96.4974299968717
10,137.4088229863557,171.54809118432624,269.5428795453759,93.81735002841023
