session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,153.79883727154618,190.92298399700312,231.79409925517143,103.35498822156734
2,151.69891283442095,186.40836760461897,235.36306750679273,107.57210240811578
3,147.73453446599063,189.32253409685902,239.4840248874101,99.99678299073275
4,146.56268562118623,185.99168461117094,247.71200942165228,100.16691471805146
5,142.2647806450531,189.20880546385888,248.1535623455453,98.81774695720759
6,143.5076699568971,182.2301350090852,248.61835694719593,102.08489145714451
7,141.01847431556482,182.3290042700786,249.77715259438395,98.569992667293
8,135.38847263439914,180.63981513975398,257.9085610577635,93.06023298840884
9,141.04242051246663,172.51882143064861,260.20130043038625,94.24219356716017
10,136.97318756501076,171.26020904978887,274.19800904633,91.57242862002091
