session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,252.91719974660296,28.31172775811609,96.39228583011977
2,65,259.15416115836604,32.34874606618125,95.1353624669658
3,70,269.478840856666,29.5402128104913,97.59317481828114
4,75,280.49045785435356,28.82087935569151,95.23877154149989
5,80,288.4475388070384,28.490381587194253,94.13372103770844
6,85,292.81712732733195,28.120301826514595,89.96591349588009
7,90,304.30657972415037,26.35365880594169,88.13441195319471
8,95,309.7557001923216,31.524742564734225,87.95677034521123
9,100,320.50962867007104,30.83344523314442,88.97759822907612
10,105,323.51985763202174,28.9386093716066,84.84614622496129
