session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,148.09074653179263,196.03639900269957,226.44238849403015,105.33755376258011
2,144.96665047558167,186.5519691486224,243.9083719341035,100.07482813932113
3,144.16777876156434,185.81104392053444,239.46672654727618,102.5409225574177
4,141.8149939000836,189.62593638313706,235.2749796114518,102.23264503427222
5,141.48820365641959,183.3882436274559,248.44159772557978,101.93880353046113
6,139.00651280076758,185.7698108972919,241.47408033465007,97.93901232251578
7,140.4105386433004,178.43662573462848,249.96532420589247,97.51667468747375
8,137.0363199314315,183.18406418327567,260.65151058512964,95.84988253708988
9,136.59931231852187,174.23079471411137,258.18052108974194,95.57857497080003
10,131.91580169776512,174.2945103974217,259.25233253593365,95.0693478035358
