session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,259.08870015999173,29.577911942016733,99.78307376641989
2,65,254.06705836962732,31.275450063354924,101.28244007069023
3,70,265.3834992677266,30.194384992816556,101.43088229426527
4,75,278.791882067452,30.543332703329288,92.1777220635127
5,80,280.61512938775303,30.720814985563372,95.95713705479652
6,85,289.7081211541238,32.41942783728514,88.20666676264594
7,90,303.74311041759375,31.128286909067786,90.46652858652142
8,95,304.6690116500746,27.51540386411715,92.26862052898623
9,100,311.92343094313964,29.85843288931396,89.57512103709698
10,105,312.4782798095701,31.526085236729635,81.30801846154237
