session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,228.78510622262706,30.435300924485254,98.38619152154958
2,65,226.1666144579764,28.749525928607003,100.12687363533655
3,70,239.08940602161073,28.269520481456478,97.26659923228961
4,75,246.88153767190394,28.38373280452731,95.40561769240054
5,80,253.26472232369207,27.47201796451812,96.51275960124939
6,85,257.6641485865838,29.745596496290712,90.26580553005238
7,90,262.27131349881336,30.01827158159066,91.28527779915738
8,95,278.96980883006404,29.40138091702878,87.36739982187521
9,100,284.59856485917896,29.941848389597975,89.41431703325118
10,105,285.9326695866392,28.929428281659714,88.9078492736692
