session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,258.4661337498267,29.774513572477506,98.2568897467522
2,65,274.68256332843094,31.67355677234299,101.02361512062413
3,70,276.79714003590175,26.026320259834705,99.81225443917003
4,75,281.83381022787455,27.67053626318424,95.41331652237984
5,80,302.501605061002,30.54783207962598,93.40050390447023
6,85,301.42548621727883,28.94294128001789,89.3366922131295
7,90,298.7071286306629,29.972611622168923,89.87520808406376
8,95,316.56683994151325,29.043160794097247,88.91649597002807
9,100,318.04117151136944,30.108585641503762,84.12539153072358
10,105,324.556069162344,27.555253278025855,85.15893321840927
