session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,271.7159287516852,26.80252891632526,97.1377012274211
2,65,260.49094751334485,30.330719180703234,100.38809762113172
3,70,275.52487101826927,31.597676029676858,95.25639012612774
4,75,288.9601771375337,32.43460150728688,93.9016662928209
5,80,295.431469841845,31.16228073911112,91.97478011731808
6,85,303.8087136410567,28.793260869382483,96.02277832349068
7,90,311.69277960207313,34.32151997857478,91.2357680366204
8,95,321.4672185367018,32.220000966432565,88.87620058609285
9,100,329.2376667610251,30.37043674020199,88.70518127148782
10,105,338.5024940383571,26.892025056575257,86.06056694261484
