session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,154.5456916088923,193.0495284545913,232.13767599322972,102.9441398492853
2,155.8943311302056,191.36932934593523,222.03486541338816,103.39076996959311
3,153.0885203605861,188.44363562500325,235.9984736654644,103.90529954688303
4,151.31399826225615,183.72267323797573,254.77378844505307,103.76154690412488
5,150.8330415751326,183.93667308335858,251.85388922727347,97.09518699964865
6,151.70463122056051,184.655673495314,252.130066786417,96.67081567589217
7,144.8438775591244,180.1475765297881,243.34412819611046,95.818460612154
8,144.19529329655654,181.27445308100374,259.1258136317248,98.39590539489842
9,145.1322100423762,175.2854486130003,254.07227036357943,93.26246263175192
10,143.2843608287365,177.48425340766198,257.1276026862047,95.34185201328893
