session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,149.43275406766796,196.3224912269583,225.01462665368172,102.85285801516433
2,144.37216626123328,185.0933011982927,230.92713525603838,104.13747692180047
3,147.01442752806574,184.58709155664394,242.58988022517843,102.54798771429924
4,141.15236035310625,184.74211979200314,238.55935593140777,100.87413877242115
5,142.03524195951326,178.12612491071383,255.28030128620594,96.88478850692778
6,137.60145238712485,178.88431877728286,246.54672738137674,97.39866892987739
7,134.86666748654892,180.4919643936839,242.56019257706345,94.70208408191498
8,138.11965504787042,181.82880066756087,266.32204071052473,99.59959448616812
9,140.82503487922617,181.49978440022693,261.35131532225495,93.20009353694736
10,138.89090003385465,176.60791387050858,269.1169404833663,95.01377272864447
