session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,239.81884045511623,31.15253482790347,100.2818675150646
2,65,258.55554003183465,23.935149509595284,99.37408438321413
3,70,255.24260590229724,27.36080343261274,94.98860651237719
4,75,262.0709549705238,27.282668529590985,95.96324377335193
5,80,271.19409893768477,26.917607269087814,93.008929555158
6,85,283.0891262333299,28.619556420437128,93.41827723722231
7,90,291.00843355645924,29.13353493452975,92.24274575979298
8,95,290.9307637763885,28.593338993477104,90.47908365986858
9,100,296.64360546932744,29.273790845644918,89.52710678328559
10,105,323.4582497402693,30.81313604674016,86.95059890246978
