session,compound_lift_weight_kg,average_watts,stroke_rate,500m_time_sec
1,60,239.20182524839578,30.81749871272363,100.20464670102088
2,65,229.55097478534563,29.79456687586426,99.02569130996838
3,70,242.99557641649767,25.735534825072648,97.86049666465746
4,75,246.4242776124324,28.98864775478406,97.3826923899856
5,80,259.26469953163115,30.46975601674594,91.26849079933712
6,85,271.31301088385237,31.69143952721901,90.81235798237759
7,90,276.5962832553147,32.51441924216455,93.70189244069421
8,95,292.1064729575085,27.88004435617921,91.09572542301827
9,100,290.6411107299499,28.86597400583571,89.46488192644858
10,105,299.16871924925294,29.4109674705875,87.50445987293914
