session,steady_state_hr_avg,sprint_hr_peak,average_watts,500m_time_sec
1,149.2512816096898,190.63897326181996,234.83137628411322,105.2534981268504
2,149.09260087164074,189.19068929407217,229.52786499204066,105.08418162338627
3,150.2499108270766,187.53714609731819,238.4098394685363,103.11508694182574
4,147.79637448735556,189.0034217743546,243.38907498337608,102.9126618448459
5,148.29591911979398,185.36583011327372,245.94320791561864,102.30163846580078
6,144.91554697460123,182.16429862199797,245.40041181846155,97.20754789091659
7,143.8549619909196,184.68528507152578,264.70669173870436,92.0724299161251
8,142.05952318683765,175.65302345801132,259.7690949504789,94.19099579996126
9,139.9988688016152,175.22365644859144,258.68043030995915,97.7746447993004
10,139.93604002870828,174.7153898468557,259.86197372977784,89.56135568291796
